style,medal,beer,brewery,state
Experimental India Pale Ale,Bronze,Nature Brut,Três Torres,ES
Export-Style Stout,Ouro,Vinil 78 Rpm,Cervejaria Vinil,MG
Export-Style Stout,Prata,Mr. Brew - Stout,Mr. Brew Cervejaria,SC
Export-Style Stout,Bronze,Export Stout,Cervejaria Salva,RS
Extra Special Bitter,Prata,Peter The Bitter,Three Monkeys Beer,RJ
Extra Special Bitter,Bronze,Ashby British Strong Ale,Cervejaria Ashby,SP
Field Beer,Ouro,O Olhar Dos Seres Das Matas,Captain Brew,MG
Field Beer,Prata,To Com Amendoin Cheio,Cervejaria Salva,RS
Finnish-Style Sahti,Ouro,Mr. Brew/Olaf/Vkmalts - Kalsarikännit Sahti,Mr. Brew Cervejaria,SC
Finnish-Style Sahti,Prata,Vanaheim,Cervejaria Karsten,SC
Franconian-Style Rotbier,Ouro,Rouge Lager,Sexto Sentido Cervejaria,SP
Franconian-Style Rotbier,Prata,Jordana Bier Burning Heart Red Lager,Cervejaria Jordana Bier Ltda,PR
Franconian-Style Rotbier,Bronze,Elementum Red Lager,Cervejaria Imigração 1824,RS
Fresh Hop Beer,Ouro,Terra Boa Hop Lager,Terra Boa,MG
Fresh Hop Beer,Prata,Terra Boa - Terra Boa Ipa,Terra Boa,MG
Fruit Wheat Beer,Ouro,Aurora Cítrus,Magbeer,MG
Fruit Wheat Beer,Prata,Ashby Wheat Raspberry,Cervejaria Ashby,SP
German-Style Altbier,Ouro,Vecchia Birra,Big Jack Cervejaria,SC
German-Style Altbier,Prata,O Mago,Bergerbier,ES
German-Style Doppelbock,Ouro,Ghost Of The Navigator,Cervejaria Artesanal Conceição,ES
German-Style Doppelbock,Prata,Big Jack Doppelbock,Big Jack Cervejaria,SC
German-Style Doppelbock,Bronze,Opa Vesta,Cervejaria Três Santas,ES
German-Style Eisbock,Ouro,Karsten Eisbock,Cervejaria Karsten,SC
German-Style Eisbock,Bronze,Eisbock #2,Cervejaria Salva,RS
German-Style Heller Bock/Maibock,Bronze,Golden Bock,Big Jack Cervejaria,SC
German-Style Koelsch,Prata,Kopf Kölsch,Magbeer,MG
German-Style Koelsch,Bronze,1824 Imigração Hop Lager,Cervejaria Imigração 1824,RS
German-Style Leichtbier,Ouro,Svetle Pivo,Captain Brew,MG
German-Style Leichtes Weizen,Bronze,Furst Catalina Weiss,Cervejaria Furst,MG
German-Style Maerzen,Ouro,Furst Oktoberfest,Cervejaria Furst,MG
German-Style Maerzen,Prata,Bierbaum Keller,Cervejaria Bierbaum,SC
German-Style Maerzen,Bronze,Urwald Oktoberfest,Cervejaria Urwald,RS
German-Style Oktoberfest/Festbier,Ouro,1824 Imigração Oktoberfest,Cervejaria Imigração 1824,RS
German-Style Oktoberfest/Festbier,Prata,Karsten Munich Helles,Cervejaria Karsten,SC
German-Style Pilsener,Ouro,Tendel German Pils,Tendel,SC
German-Style Pilsener,Prata,Leopoldina German Pilsener,Cervejaria Leopoldina,RS
German-Style Rye Ale,Ouro,Bavarian Jack,Big Jack Cervejaria,SC
German-Style Schwarzbier,Ouro,Schwarzbier - Wolfes Bier,Cervejaria Wolfes Bier,SP
German-Style Schwarzbier,Prata,Sampler - Schwarzbier,Sampler Brew House,RJ
German-Style Schwarzbier,Bronze,Velha Dos Feitiços,Big Jack Cervejaria,SC
Ginjo Beer or Sake-Yeast Beer,Prata,Ginjo Katana,Big Jack Cervejaria,SC
Gluten-Free Enzimático,Ouro,Cajuzada De Morango Glúten Que Lute,Cervejaria Salva,RS
Gluten-Free Enzimático,Prata,Limonada De Morango Fugiu Do Glúten,Cervejaria Salva,RS
Gluten-Free Enzimático,Bronze,Cajuzada Nem Bêbada Nem Com Glúten,Cervejaria Salva,RS
Golden or Blonde Ale,Ouro,Minas Blonde,Minas Bier Ltda,MG
Golden or Blonde Ale,Prata,Golden Boys,Big Jack Cervejaria,SC
Golden or Blonde Ale,Bronze,Chopp Hauk,Cervejaria Hauk,MG
Grodziskie,Ouro,Leopoldina Grodziskie,Cervejaria Leopoldina,RS
Herb and Spice Beer,Prata,Pão De Canela,Cervejaria Buonacerva Ltda,MG
Herb and Spice Beer,Bronze,O Casamento De Pedro Piol,Três Torres,ES
Historical Beer,Ouro,Tendel Stout,Tendel,SC
Historical Beer,Prata,Relíquia De Lichtenhain,Big Jack Cervejaria,SC
Historical Beer,Bronze,Lichtenhainer Wood,Big Jack Cervejaria,SC
Hop Lager,Prata,Urwald Hop Lager,Cervejaria Urwald,RS
Hop Lager,Bronze,Hop Lager,Cervejaria Xaraés,MT
Imperial Red Ale,Ouro,Thoruna Red Ipa,Cervejaria Walnut,MG
Imperial Red Ale,Bronze,Big Red,Três Torres,ES
International Light Lager,Ouro,Pilsen,Companhia Central De Bebidas,MG
International Light Lager,Prata,Jack Light,Big Jack Cervejaria,SC
International Light Lager,Bronze,Kloster Pilsen,Kloster,SC
International-Style Pale Ale,Ouro,Rótula Bier Pale Ale,Cervejaria Rótula Bier,RS
International-Style Pale Ale,Prata,American Pale Ale (Apa Ekuanot & Mosaic),Cervejaria Karsten,SC
International-Style Pale Ale,Bronze,Roleta Russa Apa,Cervejaria Imigração 1824,RS
International-Style Pilsener,Ouro,Campinas Pilsen,Cervejaria Campinas,SP
International-Style Pilsener,Prata,Puma German Lager,Cervejaria Unika,SC
International-Style Pilsener,Bronze,Kloster Pils,Kloster,SC
Irish-Style Red Ale,Ouro,Buona Red,Cervejaria Buonacerva Ltda,MG
Irish-Style Red Ale,Prata,Brotas Beer Red Ale,Brotas Beer,SP
Irish-Style Red Ale,Bronze,Trarko Irish Red Ale,Cervejaria Trarko,ES
Italian Grape Ale,Ouro,Leopoldina - Leopoldina Italian Grape Ale Gewurztraminer,Cervejaria Leopoldina,RS
Italian Grape Ale,Prata,Leopoldina - Leopoldina Italian Grape Ale Chardonnay Safra 2025,Cervejaria Leopoldina,RS
Italian Grape Ale,Bronze,Leopoldina - Leopoldina Italian Grape Ale Pinot Noir,Cervejaria Leopoldina,RS
Italian-Style Pilsener,Prata,Cervejaria Leopoldina - Leopoldina Pilsen,Cervejaria Leopoldina,RS
Juicy or Hazy Imperial or Double India Pale Ale,Ouro,Nz Hazy Ipa,Marchand Beer Co.,SC
Juicy or Hazy Imperial or Double India Pale Ale,Prata,Oswaldo Renasce Nos Limites Da Consciencia,Captain Brew,MG
Juicy or Hazy Imperial or Double India Pale Ale,Bronze,Enfeite De Natal,Captain Brew,MG
Juicy or Hazy India Pale Ale,Ouro,Acadiana,Três Torres,ES
Juicy or Hazy India Pale Ale,Prata,Insight Hazy Ipa,Dakza Brewing,MG
Juicy or Hazy Pale Ale,Ouro,Juicebox,Marchand Beer Co.,SC
Juicy or Hazy Pale Ale,Bronze,Big John Tricorn Hat - Neapa,Big John Cervejaria,SC
Juicy or Hazy Strong Pale Ale,Ouro,Cervejaria Leopoldina - Leopoldina Strong Hazy,Cervejaria Leopoldina,RS
Juicy or Hazy Strong Pale Ale,Prata,Roleta Russa New England,Cervejaria Imigração 1824,RS
Juicy or Hazy Strong Pale Ale,Bronze,Diussy Trem Hazy Ipa,Überbräu,MG
Kellerbier or Zwickelbier,Ouro,Leopoldina Keller,Cervejaria Leopoldina,RS
Kellerbier or Zwickelbier,Prata,Cervejaria Leopoldina - Keller German,Cervejaria Leopoldina,RS
Kellerbier or Zwickelbier,Bronze,Kellerbier Series - Maibock,Big Jack Cervejaria,SC
Kentucky Common Beer,Prata,Eu Sei Common,Cervejaria Salva,RS
Kentucky Common Beer,Bronze,Kentucky Jack,Big Jack Cervejaria,SC
Leipzig-Style Gose,Ouro,Salgadinha Da Hank,Hank Bier,PR
Leipzig-Style Gose,Prata,Leipzig Gose,Big Jack Cervejaria,SC
Low Carb Beer,Ouro,Big John Low Carb,Big John,SC
Low Carb Beer,Prata,Cajueira Low Cab,Big Jack Cervejaria,SC
Low Carb Beer,Bronze,Low Carb Ipa,Big Jack Cervejaria,SC
Mexican-Style Amber Lager,Ouro,Ligeirinho,Hank Bier,PR
Mexican-Style Amber Lager,Prata,Copa Do Mundo Series - México,Big Jack Cervejaria,SC
Mexican-Style Dark Lager,Prata,Bigodão Mexicano,Big Jack Cervejaria,SC
Mexican-Style Light Lager,Bronze,Muchacho,Big Jack Cervejaria,SC
Mexican-Style Pale Lager,Ouro,Pilsen Registrada,Cervejaria Registrada,MG
Mexican-Style Pale Lager,Prata,Lucha Libre,Big Jack Cervejaria,SC
Mixed-Culture Brett Beer,Ouro,Cacau Brett,Vila Dionísio,SP
Mixed-Culture Brett Beer,Prata,Saison Gabiroba,Água Do Monge Cervejaria,PR
Mixed-Culture Brett Beer,Bronze,Saison Ipê,Água Do Monge Cervejaria,PR
Munich-Style Dunkel,Ouro,Bierbaum Dunkel,Cervejaria Bierbaum,SC
Munich-Style Dunkel,Prata,Schwarz,Genaus Bier,SC
Munich-Style Helles,Ouro,Karsten - Helles De Munich,Cervejaria Karsten,SC
Munich-Style Helles,Prata,Kloster Pilsen,Kloster,SC
Munich-Style Helles,Bronze,Tendel Helles,Tendel,SC
New Zealand-Style India Pale Ale,Ouro,New Zealand Ipa 277,277 Craft Beer,PR
New Zealand-Style India Pale Ale,Prata,Haka Pop,Marchand Beer Co.,SC
New Zealand-Style India Pale Ale,Bronze,Ipa,Cervejaria Salva,RS
New Zealand-Style Pale Ale,Ouro,Farwest,Colt Brew,MG
New Zealand-Style Pale Ale,Prata,A Ipa,Genaus Bier,SC
New Zealand-Style Pale Ale,Bronze,Roleta Russa Ipa,Cervejaria Imigração 1824,RS
Non-Alcohol Malt Beverage,Ouro,Cajuzada Sem Álcool,Cervejaria Salva,RS
Non-Alcohol Malt Beverage,Prata,Sim! Cerveja Sem Álcool - Maracujá Sour'n Salt,Sim! Cerveja Sem Álcool,SP
Non-Alcohol Malt Beverage,Bronze,Jack N.a. Berliner,Big Jack Cervejaria,SC
Oatmeal Stout,Ouro,Denker Stout,Cervejaria Denker,RJ
Oatmeal Stout,Prata,Campinas Andarilha Oatmeal Stout,Cervejaria Campinas,SP
Oatmeal Stout,Bronze,1824 Imigração Oatmeal Stout,Cervejaria Imigração 1824,RS
Old Ale,Prata,Para Abrir Quando Chegarmos Em Trappist-1 - Amburana,Cervejaria Três Santas,ES
Ordinary Bitter,Ouro,Yellow Submarine,Big Jack Cervejaria,SC
Other Belgian-Style Ale,Prata,Christmas Ale 2025,Cia De Brassagem Brasil,SP
Other Belgian-Style Ale,Bronze,O Julgamento Selvagem,Cervejaria Três Santas,ES
Other Origin Lager Styles,Ouro,Karsten Tropiacal Light Lager,Cervejaria Karsten,SC
Other Origin Lager Styles,Prata,Madre Pils Sem Glúten,Cervejaria Unika,SC
Other Origin Lager Styles,Bronze,Bairrista Villa Nova,Cervejaria Salva,RS
